actor_user_id,target_user_id,persona,card_click,full_profile_open,dwell_time_ms,saved_profile,interaction_type,label,relevance_score,reasoning,created_at
17,26,luxury-relaxation-couple,1,1,16500,1,SUPER_LIKE,3,91.0,"Chance: luxury budget, food+museums+shopping+beach, relaxation, couple-friendly, ambivert — nearly identical travel DNA to Irene. Both Dutch-adjacent (The Hague), both EN speakers. The only gap is flexible vs strict planning style, but the destination/activity/budget alignment is exceptional. Long dwell, saved, SUPER_LIKE.",2026-05-03T20:45:52.046287
17,28,luxury-relaxation-couple,1,1,10200,0,YES,2,72.0,"Melvin shares food, museums, shopping, beach+city, relaxation, couple-friendly, strict planning, ambivert, EN+FR. Budget gap (moderate vs luxury) is a friction point, but the activity and intent overlap is strong. Irene reads the full profile and gives a solid YES.",2026-05-03T20:46:13.388749
17,29,luxury-relaxation-couple,1,0,0,1,SAVE_ONLY,1,44.0,"Emory: luxury, museums, cultural, long-term travel — partially appealing. But spontaneous style vs strict, solo buddy preference vs couple-friendly, and city-break vs islands create hesitation. Irene glances the card, bookmarks it without going deeper. Latent interest.",2026-05-03T20:46:37.390996
17,30,luxury-relaxation-couple,0,0,0,0,NO,0,16.0,"Mohammed: introvert, moderate budget, mountains/countryside, reading/photography, solo buddy, weekend escapes — nothing aligns with Irene's luxury island vacation with a couple-friendly vibe. Immediate skip.",2026-05-03T20:47:24.049997
17,32,luxury-relaxation-couple,1,0,0,0,NO,0,28.0,"Brayan shares cafes and food, and strict planning — partial overlap. But moderate budget, city-break focus, solo travel buddy vs couple-friendly, and no island/beach intent mean the fit is shallow. Irene clicks the card, sees the mismatch instantly, and swipes away.",2026-05-03T20:48:01.397632
18,33,introvert-cultural-city,0,0,0,0,NO,0,21.0,"Cameron is into festivals, party scene, group travel — the antithesis of Ty's introverted, cultural, solo city-break style. Budget also mismatches (budget-friendly vs moderate). Ty scrolls past without clicking.",2026-05-03T20:48:24.285710
18,29,introvert-cultural-city,1,0,0,1,SAVE_ONLY,1,52.0,"Emory: museums, cultural, city-break, long-term travel — all strong matches for Ty. But luxury budget vs moderate and extrovert vs introvert give pause. Ty saves the profile to revisit, not ready to commit yet. Latent interest.",2026-05-03T20:50:36.367000
18,22,introvert-cultural-city,0,0,0,0,NO,0,18.0,"Cooper: luxury budget, mountains/countryside, beach, extrovert, spontaneous, solo buddy — destination type and energy are misaligned with Ty's introverted city-break cultural focus. The reading activity is a faint overlap but not enough. Skip.",2026-05-03T20:50:56.405190
18,25,introvert-cultural-city,1,0,0,0,NO,0,24.0,"Aubrielle shares museums but is extrovert, spontaneous, adventure/hostels-focused with mountain destinations and group travel — almost the opposite energy from Ty's introverted cafe-cultural city breaks. Card click prompted by museums keyword, but profile body is a mismatch. NO.",2026-05-03T20:51:16.376979
18,31,introvert-cultural-city,1,1,11800,0,YES,2,79.0,"Zaria: cafe-hopping, food, museums, walking tours, cultural, city-break, flexible, introvert, solo travel buddy — an almost perfect mirror of Ty's DNA. The only friction is luxury vs moderate budget. The social and activity alignment is strong enough that Ty reads the full profile and commits to YES.",2026-05-03T21:12:06.384957
19,26,luxury-beach-couple,1,1,12300,0,YES,2,83.0,"Chance: luxury, beach, food, museums, shopping, relaxation, couple-friendly, ambivert — hits almost every checkbox for Jasmine. The only gap is flexible vs spontaneous planning style, a minor friction. Long dwell, confident YES.",2026-05-03T21:13:42.465528
19,22,luxury-beach-couple,1,0,0,1,SAVE_ONLY,1,49.0,"Cooper: luxury, beach, relaxation, spontaneous — partially overlapping. But countryside/mountains destination and solo travel buddy preference don't fit Jasmine's beach+islands couple-friendly intent. Glances the card, bookmarks for later without committing. Latent interest.",2026-05-03T21:14:34.393891
19,28,luxury-beach-couple,1,1,8900,0,YES,2,68.0,"Melvin: beach, food, museums, shopping, relaxation, couple-friendly, ambivert — strong activity and intent match with Jasmine. Budget gap (moderate vs luxury) and strict vs spontaneous planning are noted but don't override the core alignment. Reads full profile, gives YES.",2026-05-03T21:14:54.388293
19,23,luxury-beach-couple,0,0,0,0,NO,0,27.0,"Makenna: budget-friendly, party/nightlife focus, group travel — clashes hard with Jasmine's luxury relaxation couple-friendly intent. Beach destination is a surface overlap but the vibe is entirely different. Instant skip, no card click.",2026-05-03T21:15:04.400479
19,32,luxury-beach-couple,1,0,0,0,NO,0,20.0,"Brayan: moderate budget, city-break only, strict itinerary, solo travel buddy — no beach/islands, no couple-friendly intent. Food is a shared interest but nowhere near enough to overcome the destination and intent mismatch. Card clicked out of mild curiosity, swiped away immediately.",2026-05-03T21:15:42.392361
20,33,budget-adventurer-group,1,1,7800,0,YES,2,66.0,"Cameron: flexible, budget, food, city-break, ambivert, group — shares budget mindset and group travel intent with Ricardo. Festivals and party vibe differ from Ricardo's adventure/countryside focus, but the easygoing energy and budget alignment are convincing enough for YES.",2026-05-03T21:18:42.453375
20,18,budget-adventurer-group,0,0,0,0,NO,0,17.0,"Ty: introvert, moderate, cafe-hopping, city-break cultural — opposite of Ricardo's extrovert group backpacking adventure style. No shared destination type, no shared activity, different budget tier. Instant skip.",2026-05-03T21:20:42.462934
20,27,budget-adventurer-group,1,1,17200,1,SUPER_LIKE,3,89.0,"Sloane: hiking, hostels, road trips, photography, countryside+mountains, adventure, spontaneous, budget — an almost perfect DNA clone of Ricardo. Both prioritize budget travel, outdoor adventure, and group/open social energy. Ambivert vs extrovert is the only minor gap. Maximum dwell, saved, SUPER_LIKE without hesitation.",2026-05-03T21:21:30.384305
20,24,budget-adventurer-group,1,1,9100,0,YES,2,71.0,"Dayton: hiking, hostels, road trips, mountains, adventure, budget, flexible — strong activity and budget overlap. Introvert vs extrovert and solo vs group are friction points, but Ricardo is open to pairing with quieter travelers for specific trails. Confident YES after reading full profile.",2026-05-03T21:21:57.402825
20,19,budget-adventurer-group,0,0,0,0,NO,0,12.0,"Jasmine: luxury, beach/islands, shopping, couple-friendly — completely misaligned with Ricardo's budget backpacking group adventure ethos. No shared activity, destination, or budget tier. Hard pass.",2026-05-03T21:22:07.395907
21,22,adventure-mountains-group,1,0,0,1,SAVE_ONLY,1,46.0,"Cooper: hiking, mountains, luxury, solo buddy — mountains overlap is appealing to Eliza. But luxury vs moderate budget, relaxation vs adventure experience type, and solo buddy vs group create hesitation. Eliza bookmarks without committing — latent interest.",2026-05-03T21:22:26.381117
21,25,adventure-mountains-group,1,1,10400,0,YES,2,74.0,"Aubrielle: museums, photography, mountains, adventure, moderate, spontaneous, group — strong overlap with Eliza on destinations, experience type, and group preference. Strict vs spontaneous planning is a tension but Eliza reads the full profile and decides the adventure/mountains alignment wins. Solid YES.",2026-05-03T21:23:20.380744
21,17,adventure-mountains-group,0,0,0,0,NO,0,14.0,"Irene: luxury, islands, food/shopping, couple-friendly, strict — everything Eliza is not looking for. Adventure vs relaxation, mountains vs islands, group vs couple. No overlap worth exploring. Skip.",2026-05-03T21:23:31.397264
21,27,adventure-mountains-group,1,1,11900,0,YES,2,78.0,"Sloane: hiking, road trips, photography, countryside+mountains, adventure, spontaneous, budget — excellent destination and activity match with Eliza. Budget gap (budget vs moderate) is minor. Spontaneous vs strict is a clash but Eliza is open to it for the right adventure companion. Long dwell, YES.",2026-05-03T21:24:07.368373
21,33,adventure-mountains-group,0,0,0,0,NO,0,22.0,"Cameron: party/festivals, city-break, beach, budget — nothing aligns with Eliza's extreme sports, road trips, countryside+mountains adventure focus. Skip without clicking.",2026-05-03T21:24:26.389782
22,27,luxury-relaxation-solo,1,1,9600,0,YES,2,69.0,"Sloane: hiking, photography, mountains+countryside, adventure, spontaneous, ambivert — strong activity and destination match with Cooper. Budget mismatch (budget vs luxury) is a concern, but the photography and hiking energy resonates deeply. Cooper overlooks the budget gap and gives YES.",2026-05-03T21:25:14.642068
22,28,luxury-relaxation-solo,0,0,0,0,NO,0,23.0,"Melvin: beach+city break, food/shopping, strict itinerary, couple-friendly, moderate — no mountains, no photography, no hiking. Different destination type, budget, and travel intent entirely. Hard pass.",2026-05-03T21:25:54.401380
22,29,luxury-relaxation-solo,1,0,0,1,SAVE_ONLY,1,51.0,"Emory: luxury, museums, walking tours, cultural, solo buddy — the luxury tier and solo travel intent appeal to Cooper. But city-break focus vs countryside+mountains and cultural vs relaxation experience type create doubt. Cooper saves it to revisit without committing.",2026-05-03T22:38:27.388037
22,21,luxury-relaxation-solo,1,1,8700,0,YES,2,65.0,"Eliza: road trips, mountains+countryside, ambivert, long-term travel — destination and exploration energy connect with Cooper's hiking and photography interests. Budget gap (moderate vs luxury) and strict planning vs spontaneous are minor frictions. The mountains overlap and open travel spirit win a YES.",2026-05-03T22:38:51.389810
22,30,luxury-relaxation-solo,1,0,0,0,NO,0,31.0,"Mohammed: introvert, moderate, reading/photography, countryside+mountains, solo, weekend escapes — destination overlaps slightly but the introvert+moderate+weekend-only profile doesn't match Cooper's luxury spontaneous vacation energy. Card clicked, mismatch spotted quickly, swiped away.",2026-05-03T22:39:42.456446
23,29,party-beach-group,0,0,0,0,NO,0,19.0,"Emory: cultural walking tours, luxury, museums, solo buddy, long-term travel — serious cultural traveler vibe clashes entirely with Makenna's party/beach/group spontaneity. No shared activity or intent. Instant skip.",2026-05-03T22:40:11.393287
23,33,party-beach-group,1,1,15400,1,SUPER_LIKE,3,85.0,"Cameron: beach, festivals, food, city-break, flexible, ambivert, budget, group, vacation — near-perfect DNA match with Makenna. Both want group fun, spontaneous/flexible beach and city vibes on a budget. Party+festivals vs nightlife is the same energy. Long dwell, saved, SUPER_LIKE without hesitation.",2026-05-03T22:40:38.399779
23,26,party-beach-group,1,0,0,1,SAVE_ONLY,1,43.0,"Chance: beach, food, shopping, relaxation, ambivert — beach destination is a shared draw. But luxury vs budget, couple-friendly vs group, and relaxation vs party are meaningful clashes. Makenna bookmarks it as a maybe — perhaps for a calmer trip — but doesn't commit now.",2026-05-03T22:41:42.478366
23,20,party-beach-group,1,1,7300,0,YES,2,61.0,"Ricardo: extrovert, budget, group travel, road trips, EN/DE — shared budget, group energy and extrovert spirit resonate with Makenna. Adventure vs party is a style gap but both thrive in social group settings. Makenna sees a potential road-trip party companion and gives YES.",2026-05-03T22:45:29.993424
23,22,party-beach-group,0,0,0,0,NO,0,25.0,"Cooper: luxury, mountains+countryside, solo buddy, relaxation — opposite budget tier, opposite social format, opposite destination. Makenna has no reason to pause on this card. Instant skip.",2026-05-03T22:45:41.387619
24,26,introvert-hiker-solo,0,0,0,0,NO,0,15.0,"Chance: luxury, beach, shopping, couple-friendly, relaxation — every dimension clashes with Dayton's budget mountain hiking solo weekends. Not even worth a click.",2026-05-03T22:45:53.404558
24,27,introvert-hiker-solo,1,1,18100,1,SUPER_LIKE,3,92.0,"Sloane: hiking, hostels, road trips, photography, mountains+countryside, adventure, budget, ambivert — an almost exact mirror of Dayton's DNA. Both are budget-conscious, physically active, and outdoors-focused. Ambivert vs introvert is the only gap. Dayton reads every line, saves it, and SUPER_LIKEs — the best match he's seen.",2026-05-03T22:46:20.392179
24,19,introvert-hiker-solo,0,0,0,0,NO,0,11.0,"Jasmine: luxury, beach+islands, shopping, couple-friendly, spontaneous — zero alignment with Dayton's budget mountain hiking solo weekends. No click, no interest.",2026-05-03T22:46:30.385850
24,30,introvert-hiker-solo,1,1,10800,0,YES,2,76.0,"Mohammed: introvert, flexible, moderate, hiking, photography, mountains+countryside, relaxation, solo buddy, weekend escapes — shared introvert energy, hiking, solo format, and outdoor destinations make this a strong match. Moderate vs budget is the only gap. Dayton reads the full profile and gives a confident YES.",2026-05-03T22:49:42.474283
24,33,introvert-hiker-solo,1,0,0,1,SAVE_ONLY,1,44.0,"Cameron: flexible, budget, food, city-break, ambivert — budget alignment catches Dayton's eye but the party/festivals/city focus is far from mountain hiking weekends. Dayton saves it out of mild curiosity about the budget compatibility, but the activity mismatch holds him back from committing. Latent interest.",2026-05-03T22:55:19.065991
25,33,adventure-photography-group,1,1,8300,0,YES,2,68.0,"Cameron: flexible, budget, food, city-break, ambivert, group — shared budget and group travel intent resonate with Aubrielle. Party/festivals vs adventure is a style gap but the easygoing social energy and budget match make it a comfortable YES.",2026-05-03T23:00:35.393649
25,27,adventure-photography-group,1,1,16800,1,SUPER_LIKE,3,90.0,"Sloane: hiking, hostels, photography, road trips, mountains+countryside, adventure, spontaneous, budget, ambivert — almost identical DNA to Aubrielle. Both love photography and outdoor adventure on a budget. Spontaneous style matches. Aubrielle dwells longest, saves, SUPER_LIKE — clearest match in her feed.",2026-05-03T23:05:42.477456
25,29,adventure-photography-group,1,0,0,1,SAVE_ONLY,1,47.0,"Emory: photography, museums, luxury, spontaneous, cultural, solo buddy — the photography overlap catches Aubrielle's eye. But luxury vs moderate, city-break vs mountains, and solo vs group are significant gaps. She saves it as a maybe without opening the full profile.",2026-05-03T23:08:33.361937
25,28,adventure-photography-group,0,0,0,0,NO,0,21.0,"Melvin: beach+city, food/shopping, strict, couple-friendly, relaxation — nothing aligns with Aubrielle's adventure/photography/mountains group ethos. Instant skip.",2026-05-03T23:09:41.586452
25,30,adventure-photography-group,1,0,0,0,NO,0,33.0,"Mohammed: introvert, moderate, reading/photography/hiking, solo, weekend escapes — mountains and photography overlap sparks a click, but introvert+solo vs extrovert+group and relaxation vs adventure kill the interest immediately. Quick swipe away.",2026-05-03T23:12:14.898643
26,19,luxury-beach-couple,1,1,11200,0,YES,2,80.0,"Jasmine: luxury, beach+islands, food, museums, shopping, relaxation, couple-friendly, ambivert — extremely strong overlap with Chance's DNA. Both luxury beach relaxation couple-friendly profiles. Spontaneous vs flexible is negligible. Long dwell, confident YES.",2026-05-03T23:15:32.043595
26,29,luxury-beach-couple,1,0,0,1,SAVE_ONLY,1,53.0,"Emory: luxury, museums, walking tours, cultural, spontaneous, long-term — luxury tier and museums are appealing to Chance. But solo buddy vs couple-friendly and city-break vs beach are mismatches. Chance saves it speculatively — maybe for a cultural city trip — without committing.",2026-05-03T23:19:27.534147
26,27,luxury-beach-couple,0,0,0,0,NO,0,18.0,"Sloane: budget, hostels, backpacking, adventure, group — polar opposite of Chance's luxury beach couple relaxation profile. No overlap on budget, destination, or travel format. Instant skip.",2026-05-03T23:21:48.034617
26,31,luxury-beach-couple,1,1,9400,0,YES,2,70.0,"Zaria: luxury, cafe-hopping, food, museums, walking tours, cultural, flexible, solo buddy — luxury tier and rich activity overlap are very appealing. Solo vs couple-friendly is a gap but Chance reads the full profile and decides the cultural+food+museums alignment is strong enough. YES.",2026-05-03T23:25:26.389758
26,32,luxury-beach-couple,1,0,0,0,NO,0,26.0,"Brayan: moderate budget, city-break, solo travel buddy, strict — moderate budget vs luxury and solo vs couple-friendly are deal-breakers for Chance. Food overlap is insufficient. Card clicked, profile skipped immediately.",2026-05-03T23:25:42.399561
27,25,budget-adventurer-group,1,1,10600,0,YES,2,77.0,"Aubrielle: museums, photography, mountains, adventure, moderate, spontaneous, group — strong destination and activity match with Sloane. Both love photography and outdoor adventure. Budget gap (budget vs moderate) is minor. Spontaneous style matches perfectly. Solid YES after reading full profile.",2026-05-03T23:39:40.397562
27,24,budget-adventurer-group,1,1,12400,0,YES,2,82.0,"Dayton: hiking, hostels, road trips, mountains, adventure, budget, flexible — nearly identical activity and destination DNA to Sloane. Introvert vs ambivert and solo vs group are mild frictions but Sloane is open to smaller arrangements. Budget match seals it. Long dwell, confident YES.",2026-05-03T23:40:04.397707
27,30,budget-adventurer-group,1,0,0,1,SAVE_ONLY,1,55.0,"Mohammed: hiking, photography, mountains+countryside, flexible, introvert, solo, moderate — shared outdoor destinations and photography interest. Budget gap (moderate vs budget) and introvert+solo vs group create hesitation. Sloane bookmarks it as a potential quiet hiking companion without fully committing.",2026-05-03T23:40:21.392293
27,32,budget-adventurer-group,0,0,0,0,NO,0,20.0,"Brayan: cafe-hopping, city walks, food, shopping, city-break, strict, moderate, solo, long-term — urban foodie with no outdoor activities, no adventure, no budget alignment. Nothing draws Sloane in. Instant skip.",2026-05-03T23:40:42.387086
27,33,budget-adventurer-group,1,0,0,0,NO,0,29.0,"Cameron: beach, festivals, party, city-break — the budget match draws a card click but the party/city/festival vibe is far from Sloane's hiking/nature/photography ethos. Swiped away immediately after seeing activity list.",2026-05-03T23:44:42.469400
28,21,moderate-beach-couple,0,0,0,0,NO,0,16.0,"Eliza: extreme sports, road trips, mountains, strict, adventure, group — adventure/mountains vs beach/city relaxation, group vs couple-friendly, extreme sports vs food/shopping. No shared ground. Instant skip.",2026-05-03T23:46:42.496830
28,22,moderate-beach-couple,1,0,0,1,SAVE_ONLY,1,45.0,"Cooper: luxury, beach, relaxation, spontaneous, solo buddy — beach and relaxation are strong draws for Melvin. But luxury vs moderate, spontaneous vs strict, and solo vs couple-friendly give pause. Saved speculatively for a potential beach trip, no full commitment yet.",2026-05-03T23:50:42.471357
28,29,moderate-beach-couple,1,0,0,0,NO,0,28.0,"Emory: luxury, cultural walking tours, solo buddy, long-term, spontaneous — museums overlap draws a click but luxury vs moderate, solo vs couple-friendly, and cultural vs relaxation mean this is a clear mismatch. Swiped away fast.",2026-05-03T23:52:51.888671
28,31,moderate-beach-couple,1,1,15900,1,SUPER_LIKE,3,87.0,"Zaria: cafe-hopping, food, museums, walking tours, cultural, city-break, flexible, introvert, solo buddy — overlaps strongly on food, museums, city-break, and flexible planning. Budget gap (luxury vs moderate) is the main friction but the activity and destination alignment is exceptional. Melvin dwells longest of the session, saves, and SUPER_LIKEs.",2026-05-03T23:53:15.390666
28,26,moderate-beach-couple,1,1,9800,0,YES,2,74.0,"Chance: beach, food, museums, shopping, relaxation, couple-friendly, ambivert — strong alignment on activities, destination type, and couple-friendly intent. Luxury vs moderate budget is the key gap but the overall vibe and travel intent match well. Melvin reads the full profile and gives a solid YES.",2026-05-03T23:53:35.384686
29,26,cultural-photographer-solo,1,0,0,1,SAVE_ONLY,1,50.0,"Chance: luxury, food, museums, hiking, ambivert, flexible — luxury tier and museums overlap appeal to Emory. But couple-friendly vs solo buddy and beach vs city-break are mismatches. Emory saves it without diving in — perhaps useful for a joint city segment of a longer trip.",2026-05-03T23:54:42.402155
29,31,cultural-photographer-solo,1,1,12700,0,YES,2,81.0,"Zaria: cafe-hopping, food, museums, photography, walking tours, cultural, city-break, flexible, solo buddy — near-perfect cultural and activity alignment with Emory. Budget gap (luxury vs luxury — both match) is non-existent. Introvert vs extrovert is mild friction. Long dwell, strong YES.",2026-05-03T23:55:40.390655
29,28,cultural-photographer-solo,0,0,0,0,NO,0,24.0,"Melvin: moderate, beach+city, food/shopping, couple-friendly, strict — moderate budget, couple-focused and relaxation-oriented vs Emory's luxury cultural solo long-term travel. No compelling overlap. Instant skip.",2026-05-03T23:55:49.390309
29,32,cultural-photographer-solo,1,1,10300,0,YES,2,72.0,"Brayan: cafe-hopping, city walks, food, cultural, city-break, ambivert, EN/ES, long-term travel, solo buddy — strong cultural and city-break alignment with Emory. Both seek long-term solo travel companions and share Spanish. Budget gap (moderate vs luxury) is notable but the activity and intent match is compelling. YES.",2026-05-03T23:59:38.036560
29,33,cultural-photographer-solo,0,0,0,0,NO,0,17.0,"Cameron: party, festivals, beach, budget, group — zero alignment with Emory's luxury cultural solo city photography trips. No shared activity, budget, or intent. Instant skip.",2026-05-03T23:59:46.462281
30,27,introvert-hiker-solo,1,1,11100,0,YES,2,78.0,"Sloane: hiking, photography, road trips, mountains+countryside, adventure, budget, spontaneous — strong destination and activity match with Mohammed. Photography shared, outdoor focus shared. Budget gap (moderate vs budget) is minor. Introvert vs ambivert is manageable for a quiet trail companion. Confident YES.",2026-05-04T00:00:52.359025
30,33,introvert-hiker-solo,0,0,0,0,NO,0,22.0,"Cameron: party, festivals, beach, group, flexible — social party energy is the polar opposite of Mohammed's introverted solo reading/hiking escapes. No shared activity or intent. Instant skip.",2026-05-04T00:01:08.519773
30,24,introvert-hiker-solo,1,1,17600,1,SUPER_LIKE,3,88.0,"Dayton: introvert, flexible, budget, hiking, hostels, road trips, mountains, adventure, solo buddy, weekend escapes — mirrors Mohammed's solo outdoor introvert profile almost exactly. Shared introvert energy, outdoor destinations, and solo format make this the strongest match in the feed. Mohammed reads every line, saves, and SUPER_LIKEs.",2026-05-04T00:01:52.277116
30,29,introvert-hiker-solo,1,0,0,0,NO,0,30.0,"Emory: luxury, extrovert, city-break, walking tours, long-term — luxury budget, extrovert energy and city focus all clash with Mohammed's moderate introvert mountain weekend escapes. Photography is a surface overlap but insufficient. Card clicked, swiped away fast.",2026-05-04T00:02:38.300720
30,31,introvert-hiker-solo,1,0,0,1,SAVE_ONLY,1,46.0,"Zaria: introvert, flexible, solo buddy, food, museums, photography — shared introvert energy and solo format catch Mohammed's eye. But luxury vs moderate, city-break vs mountains+countryside, and cultural vs relaxation are mismatches. Saves it on the strength of the introvert/solo alignment alone.",2026-05-04T00:03:36.648353
31,29,luxury-cultural-solo,1,1,13200,0,YES,2,83.0,"Emory: museums, photography, walking tours, cultural, city-break, luxury, spontaneous, solo buddy, long-term — near-perfect match on activities, destination, budget tier and travel format. Extrovert vs introvert is the main friction but Zaria is open to outgoing companions for city exploration. Long dwell, strong YES.",2026-05-04T00:04:55.666145
31,32,luxury-cultural-solo,1,1,10900,0,YES,2,76.0,"Brayan: cafe-hopping, city walks, food, cultural, city-break, ambivert, solo buddy, long-term — strong activity and destination overlap with Zaria. Budget gap (moderate vs luxury) is notable but the cultural city-break solo format is compelling. Zaria reads the full profile and gives YES.",2026-05-04T00:06:30.396886
31,17,luxury-cultural-solo,0,0,0,0,NO,0,19.0,"Irene: food/shopping/islands, couple-friendly, strict, relaxation — islands vs city-break, couple-friendly vs solo, shopping vs walking tours. Nothing aligns with Zaria's cultural solo city focus. Instant skip.",2026-05-04T00:07:24.652444
31,26,luxury-cultural-solo,1,0,0,1,SAVE_ONLY,1,42.0,"Chance: luxury, food, museums, hiking, ambivert, flexible — luxury tier and museums overlap draw Zaria in. But couple-friendly vs solo and beach vs city-break are mismatches. Bookmarks it speculatively for a potential museum-day companion without committing.",2026-05-04T00:09:32.846389
31,33,luxury-cultural-solo,0,0,0,0,NO,0,13.0,"Cameron: budget, party/festivals, beach, group — every dimension misaligns with Zaria's luxury introvert cultural solo city trips. No hesitation, instant skip.",2026-05-04T00:10:47.448174
32,26,cultural-city-solo,1,0,0,0,NO,0,25.0,"Chance: luxury, beach, couple-friendly, relaxation, shopping — luxury vs moderate, beach vs city-break, couple-friendly vs solo buddy. Food and museums are a surface overlap but the travel format and budget are deal-breakers for Brayan. Card clicked, swiped away immediately.",2026-05-04T00:19:32.194433
32,31,cultural-city-solo,1,1,17300,1,SUPER_LIKE,3,91.0,"Zaria: cafe-hopping, food, museums, photography, walking tours, cultural, city-break, flexible, introvert, solo buddy — almost a perfect DNA match with Brayan. Shared cafe culture, museums, walking tours, city-break focus and solo format. Budget gap (luxury vs moderate) is the only friction. Brayan dwells longest, saves, SUPER_LIKEs — best match in the feed.",2026-05-04T00:19:56.355459
32,27,cultural-city-solo,0,0,0,0,NO,0,14.0,"Sloane: budget, hostels, hiking, road trips, countryside+mountains, adventure — complete opposite of Brayan's cafe-hopping cultural city-break style. No shared activity, destination or budget. Instant skip.",2026-05-04T00:20:07.245754
32,33,cultural-city-solo,1,0,0,1,SAVE_ONLY,1,38.0,"Cameron: flexible, budget, food, city-break, ambivert — food and city-break are partial overlaps with Brayan. Party/festival vibe vs cultural is a mismatch but Brayan saves it on the slim chance of a casual city food adventure together. Latent, non-committal interest.",2026-05-04T00:20:30.846662
